"","Year","Route","Stop","Species","Freq","Pres","Yr.q"
"77","2006","500126","7","crucifer",0,"0",0
"78","2006","500126","8","crucifer",0,"0",0
"79","2006","500126","9","crucifer",0,"0",0
"80","2006","500126","10","crucifer",0,"0",0
"81","2006","500127","1","crucifer",0,"0",0
"82","2006","500127","2","crucifer",0,"0",0
"83","2006","500127","3","crucifer",0,"0",0
"84","2006","500127","4","crucifer",0,"0",0
"85","2006","500127","5","crucifer",0,"0",0
"86","2006","500127","6","crucifer",0,"0",0
"87","2006","500127","7","crucifer",0,"0",0
"88","2006","500127","8","crucifer",0,"0",0
"89","2006","500127","9","crucifer",0,"0",0
"90","2006","500127","10","crucifer",0,"0",0
"91","2006","500128","1","crucifer",0,"0",0
"92","2006","500128","2","crucifer",0,"0",0
"93","2006","500128","3","crucifer",0,"0",0
"94","2006","500128","4","crucifer",0,"0",0
"95","2006","500128","5","crucifer",0,"0",0
"96","2006","500128","6","crucifer",0,"0",0
"97","2006","500128","7","crucifer",0,"0",0
"98","2006","500128","8","crucifer",0,"0",0
"99","2006","500128","9","crucifer",0,"0",0
"100","2006","500128","10","crucifer",0,"0",0
"101","2006","500130","1","crucifer",1,"1",0
"102","2006","500130","2","crucifer",0,"0",0
"103","2006","500130","3","crucifer",0,"0",0
"104","2006","500130","4","crucifer",0,"0",0
"105","2006","500130","5","crucifer",0,"0",0
"106","2006","500130","6","crucifer",0,"0",0
"107","2006","500130","7","crucifer",0,"0",0
"108","2006","500130","8","crucifer",1,"1",0
"109","2006","500130","9","crucifer",1,"1",0
"110","2006","500130","10","crucifer",1,"1",0
"111","2006","500132","1","crucifer",0,"0",0
"112","2006","500132","2","crucifer",0,"0",0
"113","2006","500132","3","crucifer",0,"0",0
"114","2006","500132","4","crucifer",0,"0",0
"115","2006","500132","5","crucifer",0,"0",0
"116","2006","500132","6","crucifer",0,"0",0
"117","2006","500132","7","crucifer",0,"0",0
"118","2006","500132","8","crucifer",0,"0",0
"119","2006","500132","9","crucifer",0,"0",0
"120","2006","500132","10","crucifer",0,"0",0
"121","2006","500135","1","crucifer",0,"0",0
"122","2006","500135","2","crucifer",0,"0",0
"123","2006","500135","3","crucifer",2,"1",0
"124","2006","500135","4","crucifer",1,"1",0
"125","2006","500135","5","crucifer",1,"1",0
"126","2006","500135","6","crucifer",0,"0",0
"127","2006","500135","7","crucifer",0,"0",0
"128","2006","500135","8","crucifer",2,"1",0
"129","2006","500135","9","crucifer",0,"0",0
"130","2006","500135","10","crucifer",0,"0",0
"131","2006","500141","1","crucifer",0,"0",0
"132","2006","500141","2","crucifer",0,"0",0
"133","2006","500141","3","crucifer",0,"0",0
"134","2006","500141","4","crucifer",0,"0",0
"135","2006","500141","5","crucifer",0,"0",0
"136","2006","500141","6","crucifer",0,"0",0
"137","2006","500141","7","crucifer",0,"0",0
"138","2006","500141","8","crucifer",0,"0",0
"139","2006","500141","9","crucifer",0,"0",0
"140","2006","500141","10","crucifer",0,"0",0
"141","2006","500180","1","crucifer",0,"0",0
"142","2006","500180","2","crucifer",0,"0",0
"143","2006","500180","3","crucifer",0,"0",0
"144","2006","500180","4","crucifer",0,"0",0
"145","2006","500180","5","crucifer",0,"0",0
"146","2006","500180","6","crucifer",0,"0",0
"147","2006","500180","7","crucifer",0,"0",0
"148","2006","500180","8","crucifer",0,"0",0
"149","2006","500180","9","crucifer",0,"0",0
"150","2006","500180","10","crucifer",0,"0",0
"151","2006","500191","1","crucifer",2,"1",0
"152","2006","500191","2","crucifer",1,"1",0
"153","2006","500191","3","crucifer",2,"1",0
"154","2006","500191","4","crucifer",1,"1",0
"155","2006","500191","5","crucifer",0,"0",0
"156","2006","500191","6","crucifer",0,"0",0
"157","2006","500191","7","crucifer",0,"0",0
"158","2006","500191","8","crucifer",0,"0",0
"159","2006","500191","9","crucifer",0,"0",0
"160","2006","500191","10","crucifer",0,"0",0
"161","2006","500194","1","crucifer",0,"0",0
"162","2006","500194","2","crucifer",0,"0",0
"163","2006","500194","3","crucifer",1,"1",0
"164","2006","500194","4","crucifer",1,"1",0
"165","2006","500194","5","crucifer",2,"1",0
"166","2006","500194","6","crucifer",2,"1",0
"167","2006","500194","7","crucifer",2,"1",0
"168","2006","500194","8","crucifer",1,"1",0
"169","2006","500194","9","crucifer",1,"1",0
"170","2006","500194","10","crucifer",2,"1",0
"171","2006","500195","1","crucifer",1,"1",0
"172","2006","500195","2","crucifer",1,"1",0
"173","2006","500195","3","crucifer",1,"1",0
"174","2006","500195","4","crucifer",1,"1",0
"175","2006","500195","5","crucifer",1,"1",0
"176","2006","500195","6","crucifer",1,"1",0
"177","2006","500195","7","crucifer",1,"1",0
"178","2006","500195","8","crucifer",1,"1",0
"179","2006","500195","9","crucifer",1,"1",0
"180","2006","500195","10","crucifer",0,"0",0
"181","2006","500205","1","crucifer",0,"0",0
"182","2006","500205","2","crucifer",1,"1",0
"183","2006","500205","3","crucifer",0,"0",0
"184","2006","500205","4","crucifer",0,"0",0
"185","2006","500205","5","crucifer",0,"0",0
"186","2006","500205","6","crucifer",1,"1",0
"187","2006","500205","7","crucifer",0,"0",0
"188","2006","500205","8","crucifer",0,"0",0
"189","2006","500205","9","crucifer",0,"0",0
"190","2006","500205","10","crucifer",0,"0",0
"191","2006","500208","1","crucifer",2,"1",0
"192","2006","500208","2","crucifer",2,"1",0
"193","2006","500208","3","crucifer",2,"1",0
"194","2006","500208","4","crucifer",2,"1",0
"195","2006","500208","5","crucifer",2,"1",0
"196","2006","500208","6","crucifer",2,"1",0
"197","2006","500208","7","crucifer",2,"1",0
"198","2006","500208","8","crucifer",2,"1",0
"199","2006","500208","9","crucifer",2,"1",0
"200","2006","500208","10","crucifer",2,"1",0
"201","2006","500215","1","crucifer",1,"1",0
"202","2006","500215","2","crucifer",1,"1",0
"203","2006","500215","3","crucifer",1,"1",0
"204","2006","500215","4","crucifer",1,"1",0
"205","2006","500215","5","crucifer",1,"1",0
"206","2006","500215","6","crucifer",1,"1",0
"207","2006","500215","7","crucifer",1,"1",0
"208","2006","500215","8","crucifer",1,"1",0
"209","2006","500215","9","crucifer",1,"1",0
"210","2006","500215","10","crucifer",1,"1",0
"211","2006","500216","1","crucifer",1,"1",0
"212","2006","500216","2","crucifer",1,"1",0
"213","2006","500216","3","crucifer",2,"1",0
"214","2006","500216","4","crucifer",2,"1",0
"215","2006","500216","5","crucifer",2,"1",0
"216","2006","500216","6","crucifer",2,"1",0
"217","2006","500216","7","crucifer",2,"1",0
"218","2006","500216","8","crucifer",2,"1",0
"219","2006","500216","9","crucifer",2,"1",0
"220","2006","500216","10","crucifer",2,"1",0
"221","2006","500217","1","crucifer",2,"1",0
"222","2006","500217","2","crucifer",2,"1",0
"223","2006","500217","3","crucifer",2,"1",0
"224","2006","500217","4","crucifer",2,"1",0
"225","2006","500217","5","crucifer",2,"1",0
"226","2006","500217","6","crucifer",2,"1",0
"227","2006","500217","7","crucifer",2,"1",0
"228","2006","500217","8","crucifer",2,"1",0
"229","2006","500217","9","crucifer",2,"1",0
"230","2006","500217","10","crucifer",2,"1",0
"231","2006","500218","1","crucifer",2,"1",0
"232","2006","500218","2","crucifer",1,"1",0
"233","2006","500218","3","crucifer",2,"1",0
"234","2006","500218","4","crucifer",2,"1",0
"235","2006","500218","5","crucifer",2,"1",0
"236","2006","500218","6","crucifer",2,"1",0
"237","2006","500218","7","crucifer",1,"1",0
"238","2006","500218","8","crucifer",1,"1",0
"239","2006","500218","9","crucifer",2,"1",0
"240","2006","500218","10","crucifer",2,"1",0
"241","2006","500219","1","crucifer",1,"1",0
"242","2006","500219","2","crucifer",0,"0",0
"243","2006","500219","3","crucifer",1,"1",0
"244","2006","500219","4","crucifer",0,"0",0
"245","2006","500219","5","crucifer",1,"1",0
"246","2006","500219","6","crucifer",1,"1",0
"247","2006","500219","7","crucifer",1,"1",0
"248","2006","500219","8","crucifer",0,"0",0
"249","2006","500219","9","crucifer",1,"1",0
"250","2006","500219","10","crucifer",1,"1",0
"251","2006","500221","1","crucifer",0,"0",0
"252","2006","500221","2","crucifer",0,"0",0
"253","2006","500221","3","crucifer",0,"0",0
"254","2006","500221","4","crucifer",0,"0",0
"255","2006","500221","5","crucifer",0,"0",0
"256","2006","500221","6","crucifer",0,"0",0
"257","2006","500221","7","crucifer",0,"0",0
"258","2006","500221","8","crucifer",0,"0",0
"259","2006","500221","9","crucifer",0,"0",0
"260","2006","500221","10","crucifer",0,"0",0
"261","2006","500222","1","crucifer",1,"1",0
"262","2006","500222","2","crucifer",1,"1",0
"263","2006","500222","3","crucifer",1,"1",0
"264","2006","500222","4","crucifer",0,"0",0
"265","2006","500222","5","crucifer",0,"0",0
"266","2006","500222","6","crucifer",1,"1",0
"267","2006","500222","7","crucifer",0,"0",0
"268","2006","500222","8","crucifer",1,"1",0
"269","2006","500222","9","crucifer",0,"0",0
"270","2006","500222","10","crucifer",1,"1",0
"271","2006","500223","1","crucifer",1,"1",0
"272","2006","500223","2","crucifer",2,"1",0
"273","2006","500223","3","crucifer",1,"1",0
"274","2006","500223","4","crucifer",2,"1",0
"275","2006","500223","5","crucifer",2,"1",0
"276","2006","500223","6","crucifer",2,"1",0
"277","2006","500223","7","crucifer",2,"1",0
"278","2006","500223","8","crucifer",2,"1",0
"279","2006","500223","9","crucifer",2,"1",0
"280","2006","500223","10","crucifer",2,"1",0
"281","2006","500226","1","crucifer",0,"0",0
"282","2006","500226","2","crucifer",0,"0",0
"283","2006","500226","3","crucifer",0,"0",0
"284","2006","500226","4","crucifer",0,"0",0
"285","2006","500226","5","crucifer",0,"0",0
"286","2006","500226","6","crucifer",0,"0",0
"287","2006","500226","7","crucifer",0,"0",0
"288","2006","500226","8","crucifer",0,"0",0
"289","2006","500226","9","crucifer",0,"0",0
"290","2006","500226","10","crucifer",0,"0",0
"291","2006","500229","1","crucifer",1,"1",0
"292","2006","500229","2","crucifer",1,"1",0
"293","2006","500229","3","crucifer",1,"1",0
"294","2006","500229","4","crucifer",1,"1",0
"295","2006","500229","5","crucifer",1,"1",0
"296","2006","500229","6","crucifer",1,"1",0
"297","2006","500229","7","crucifer",1,"1",0
"298","2006","500229","8","crucifer",1,"1",0
"299","2006","500229","9","crucifer",1,"1",0
"300","2006","500229","10","crucifer",1,"1",0
"301","2006","500230","1","crucifer",0,"0",0
"302","2006","500230","2","crucifer",0,"0",0
"303","2006","500230","3","crucifer",0,"0",0
"304","2006","500230","4","crucifer",0,"0",0
"305","2006","500230","5","crucifer",1,"1",0
"306","2006","500230","6","crucifer",0,"0",0
"307","2006","500230","7","crucifer",0,"0",0
"308","2006","500230","8","crucifer",0,"0",0
"309","2006","500230","9","crucifer",0,"0",0
"310","2006","500230","10","crucifer",0,"0",0
"311","2006","500234","1","crucifer",0,"0",0
"312","2006","500234","2","crucifer",0,"0",0
"313","2006","500234","3","crucifer",0,"0",0
"314","2006","500234","4","crucifer",0,"0",0
"315","2006","500234","5","crucifer",0,"0",0
"316","2006","500234","6","crucifer",0,"0",0
"317","2006","500234","7","crucifer",0,"0",0
"318","2006","500234","8","crucifer",0,"0",0
"319","2006","500234","9","crucifer",0,"0",0
"320","2006","500234","10","crucifer",0,"0",0
"321","2006","500235","1","crucifer",0,"0",0
"322","2006","500235","2","crucifer",0,"0",0
"323","2006","500235","3","crucifer",0,"0",0
"324","2006","500235","4","crucifer",0,"0",0
"325","2006","500235","5","crucifer",0,"0",0
"326","2006","500235","6","crucifer",0,"0",0
"327","2006","500235","7","crucifer",0,"0",0
"328","2006","500235","8","crucifer",0,"0",0
"329","2006","500235","9","crucifer",0,"0",0
"330","2006","500235","10","crucifer",0,"0",0
"331","2006","500240","1","crucifer",0,"0",0
"332","2006","500240","2","crucifer",0,"0",0
"333","2006","500240","3","crucifer",0,"0",0
"334","2006","500240","4","crucifer",0,"0",0
"335","2006","500240","5","crucifer",0,"0",0
"336","2006","500240","6","crucifer",0,"0",0
"337","2006","500240","7","crucifer",0,"0",0
"338","2006","500240","8","crucifer",0,"0",0
"339","2006","500240","9","crucifer",0,"0",0
"340","2006","500240","10","crucifer",0,"0",0
"341","2006","500241","1","crucifer",0,"0",0
"342","2006","500241","2","crucifer",0,"0",0
"343","2006","500241","3","crucifer",0,"0",0
"344","2006","500241","4","crucifer",0,"0",0
"345","2006","500241","5","crucifer",1,"1",0
"346","2006","500241","6","crucifer",2,"1",0
"347","2006","500241","7","crucifer",1,"1",0
"348","2006","500241","8","crucifer",0,"0",0
"349","2006","500241","9","crucifer",1,"1",0
"350","2006","500241","10","crucifer",0,"0",0
"351","2006","500242","1","crucifer",1,"1",0
"352","2006","500242","2","crucifer",2,"1",0
"353","2006","500242","3","crucifer",0,"0",0
"354","2006","500242","4","crucifer",2,"1",0
"355","2006","500242","5","crucifer",1,"1",0
"356","2006","500242","6","crucifer",1,"1",0
"357","2006","500242","7","crucifer",2,"1",0
"358","2006","500242","8","crucifer",2,"1",0
"359","2006","500242","9","crucifer",2,"1",0
"360","2006","500242","10","crucifer",2,"1",0
"361","2006","500271","1","crucifer",0,"0",0
"362","2006","500271","2","crucifer",0,"0",0
"363","2006","500271","3","crucifer",0,"0",0
"364","2006","500271","4","crucifer",0,"0",0
"365","2006","500271","5","crucifer",0,"0",0
"366","2006","500271","6","crucifer",0,"0",0
"367","2006","500271","7","crucifer",0,"0",0
"368","2006","500271","8","crucifer",2,"1",0
"369","2006","500271","9","crucifer",0,"0",0
"370","2006","500271","10","crucifer",0,"0",0
"371","2006","500273","1","crucifer",2,"1",0
"372","2006","500273","2","crucifer",2,"1",0
"373","2006","500273","3","crucifer",2,"1",0
"374","2006","500273","4","crucifer",2,"1",0
"375","2006","500273","5","crucifer",2,"1",0
"376","2006","500273","6","crucifer",2,"1",0
"377","2006","500273","7","crucifer",1,"1",0
"378","2006","500273","8","crucifer",2,"1",0
"379","2006","500273","9","crucifer",2,"1",0
"380","2006","500273","10","crucifer",1,"1",0
"381","2006","500280","1","crucifer",1,"1",0
"382","2006","500280","2","crucifer",1,"1",0
"383","2006","500280","3","crucifer",1,"1",0
"384","2006","500280","4","crucifer",1,"1",0
"385","2006","500280","5","crucifer",1,"1",0
"386","2006","500280","6","crucifer",1,"1",0
"387","2006","500280","7","crucifer",2,"1",0
"388","2006","500280","8","crucifer",1,"1",0
"389","2006","500280","9","crucifer",0,"0",0
"390","2006","500280","10","crucifer",2,"1",0
"391","2006","500295","1","crucifer",1,"1",0
"392","2006","500295","2","crucifer",1,"1",0
"393","2006","500295","3","crucifer",1,"1",0
"394","2006","500295","4","crucifer",2,"1",0
"395","2006","500295","5","crucifer",1,"1",0
"396","2006","500295","6","crucifer",1,"1",0
"397","2006","500295","7","crucifer",1,"1",0
"398","2006","500295","8","crucifer",1,"1",0
"399","2006","500295","9","crucifer",1,"1",0
"400","2006","500295","10","crucifer",0,"0",0
"401","2006","500297","1","crucifer",0,"0",0
"402","2006","500297","2","crucifer",0,"0",0
"403","2006","500297","3","crucifer",0,"0",0
"404","2006","500297","4","crucifer",0,"0",0
"405","2006","500297","5","crucifer",1,"1",0
"406","2006","500297","6","crucifer",1,"1",0
"407","2006","500297","7","crucifer",0,"0",0
"408","2006","500297","8","crucifer",1,"1",0
"409","2006","500297","9","crucifer",0,"0",0
"410","2006","500297","10","crucifer",1,"1",0
"411","2006","500304","1","crucifer",0,"0",0
"412","2006","500304","2","crucifer",0,"0",0
"413","2006","500304","3","crucifer",0,"0",0
"414","2006","500304","4","crucifer",0,"0",0
"415","2006","500304","5","crucifer",0,"0",0
"416","2006","500304","6","crucifer",0,"0",0
"417","2006","500304","7","crucifer",0,"0",0
"418","2006","500304","8","crucifer",0,"0",0
"419","2006","500304","9","crucifer",0,"0",0
"420","2006","500304","10","crucifer",0,"0",0
"421","2006","500305","1","crucifer",0,"0",0
"422","2006","500305","2","crucifer",0,"0",0
"423","2006","500305","3","crucifer",0,"0",0
"424","2006","500305","4","crucifer",1,"1",0
"425","2006","500305","5","crucifer",1,"1",0
"426","2006","500305","6","crucifer",1,"1",0
"427","2006","500305","7","crucifer",1,"1",0
"428","2006","500305","8","crucifer",1,"1",0
"429","2006","500305","9","crucifer",1,"1",0
"430","2006","500305","10","crucifer",1,"1",0
"431","2006","500306","1","crucifer",1,"1",0
"432","2006","500306","2","crucifer",1,"1",0
"433","2006","500306","3","crucifer",1,"1",0
"434","2006","500306","4","crucifer",1,"1",0
"435","2006","500306","5","crucifer",1,"1",0
"436","2006","500306","6","crucifer",0,"0",0
"437","2006","500306","7","crucifer",1,"1",0
"438","2006","500306","8","crucifer",1,"1",0
"439","2006","500306","9","crucifer",1,"1",0
"440","2006","500306","10","crucifer",1,"1",0
"441","2006","500315","1","crucifer",1,"1",0
"442","2006","500315","2","crucifer",0,"0",0
"443","2006","500315","3","crucifer",0,"0",0
"444","2006","500315","4","crucifer",0,"0",0
"445","2006","500315","5","crucifer",0,"0",0
"446","2006","500315","6","crucifer",0,"0",0
"447","2006","500315","7","crucifer",0,"0",0
"448","2006","500315","8","crucifer",0,"0",0
"449","2006","500315","9","crucifer",0,"0",0
"450","2006","500315","10","crucifer",0,"0",0
"451","2006","500316","1","crucifer",1,"1",0
"452","2006","500316","2","crucifer",2,"1",0
"453","2006","500316","3","crucifer",1,"1",0
"454","2006","500316","4","crucifer",1,"1",0
"455","2006","500316","5","crucifer",2,"1",0
"456","2006","500316","6","crucifer",2,"1",0
"457","2006","500316","7","crucifer",2,"1",0
"458","2006","500316","8","crucifer",1,"1",0
"459","2006","500316","9","crucifer",1,"1",0
"460","2006","500316","10","crucifer",2,"1",0
"461","2006","500317","1","crucifer",1,"1",0
"462","2006","500317","2","crucifer",1,"1",0
"463","2006","500317","3","crucifer",1,"1",0
"464","2006","500317","4","crucifer",1,"1",0
"465","2006","500317","5","crucifer",1,"1",0
"466","2006","500317","6","crucifer",1,"1",0
"467","2006","500317","7","crucifer",1,"1",0
"468","2006","500317","8","crucifer",1,"1",0
"469","2006","500317","9","crucifer",1,"1",0
"470","2006","500317","10","crucifer",0,"0",0
"471","2006","500319","1","crucifer",0,"0",0
"472","2006","500319","2","crucifer",0,"0",0
"473","2006","500319","3","crucifer",0,"0",0
"474","2006","500319","4","crucifer",0,"0",0
"475","2006","500319","5","crucifer",0,"0",0
"476","2006","500319","6","crucifer",0,"0",0
"477","2006","500319","7","crucifer",0,"0",0
"478","2006","500319","8","crucifer",0,"0",0
"479","2006","500319","9","crucifer",0,"0",0
"480","2006","500319","10","crucifer",0,"0",0
"481","2006","500320","1","crucifer",0,"0",0
"482","2006","500320","2","crucifer",0,"0",0
"483","2006","500320","3","crucifer",0,"0",0
"484","2006","500320","4","crucifer",0,"0",0
"485","2006","500320","5","crucifer",0,"0",0
"486","2006","500320","6","crucifer",0,"0",0
"487","2006","500320","7","crucifer",0,"0",0
"488","2006","500320","8","crucifer",0,"0",0
"489","2006","500320","9","crucifer",0,"0",0
"490","2006","500320","10","crucifer",0,"0",0
"491","2006","500321","1","crucifer",0,"0",0
"492","2006","500321","2","crucifer",0,"0",0
"493","2006","500321","3","crucifer",1,"1",0
"494","2006","500321","4","crucifer",0,"0",0
"495","2006","500321","5","crucifer",0,"0",0
"496","2006","500321","6","crucifer",0,"0",0
"497","2006","500321","7","crucifer",1,"1",0
"498","2006","500321","8","crucifer",0,"0",0
"499","2006","500321","9","crucifer",0,"0",0
"500","2006","500321","10","crucifer",0,"0",0
"501","2006","500323","1","crucifer",1,"1",0
"502","2006","500323","2","crucifer",1,"1",0
"503","2006","500323","3","crucifer",1,"1",0
"504","2006","500323","4","crucifer",1,"1",0
"505","2006","500323","5","crucifer",1,"1",0
"506","2006","500323","6","crucifer",0,"0",0
"507","2006","500323","7","crucifer",1,"1",0
"508","2006","500323","8","crucifer",1,"1",0
"509","2006","500323","9","crucifer",1,"1",0
"510","2006","500323","10","crucifer",1,"1",0
"511","2006","500324","1","crucifer",3,"1",0
"512","2006","500324","2","crucifer",2,"1",0
"513","2006","500324","3","crucifer",2,"1",0
"514","2006","500324","4","crucifer",2,"1",0
"515","2006","500324","5","crucifer",2,"1",0
"516","2006","500324","6","crucifer",2,"1",0
"517","2006","500324","7","crucifer",2,"1",0
"518","2006","500324","8","crucifer",2,"1",0
"519","2006","500324","9","crucifer",1,"1",0
"520","2006","500324","10","crucifer",1,"1",0
"521","2006","500327","1","crucifer",0,"0",0
"522","2006","500327","2","crucifer",0,"0",0
"523","2006","500327","3","crucifer",0,"0",0
"524","2006","500327","4","crucifer",0,"0",0
"525","2006","500327","5","crucifer",0,"0",0
"526","2006","500327","6","crucifer",0,"0",0
"527","2006","500327","7","crucifer",0,"0",0
"528","2006","500327","8","crucifer",0,"0",0
"529","2006","500327","9","crucifer",0,"0",0
"530","2006","500327","10","crucifer",0,"0",0
"531","2006","500330","1","crucifer",1,"1",0
"532","2006","500330","2","crucifer",0,"0",0
"533","2006","500330","3","crucifer",2,"1",0
"534","2006","500330","4","crucifer",2,"1",0
"535","2006","500330","5","crucifer",1,"1",0
"536","2006","500330","6","crucifer",2,"1",0
"537","2006","500330","7","crucifer",3,"1",0
"538","2006","500330","8","crucifer",1,"1",0
"539","2006","500330","9","crucifer",1,"1",0
"540","2006","500330","10","crucifer",1,"1",0
"541","2006","500333","1","crucifer",0,"0",0
"542","2006","500333","2","crucifer",0,"0",0
"543","2006","500333","3","crucifer",0,"0",0
"544","2006","500333","4","crucifer",0,"0",0
"545","2006","500333","5","crucifer",0,"0",0
"546","2006","500333","6","crucifer",0,"0",0
"547","2006","500333","7","crucifer",0,"0",0
"548","2006","500333","8","crucifer",0,"0",0
"549","2006","500333","9","crucifer",0,"0",0
"550","2006","500333","10","crucifer",0,"0",0
"551","2006","500335","1","crucifer",1,"1",0
"552","2006","500335","2","crucifer",1,"1",0
"553","2006","500335","3","crucifer",0,"0",0
"554","2006","500335","4","crucifer",0,"0",0
"555","2006","500335","5","crucifer",0,"0",0
"556","2006","500335","6","crucifer",0,"0",0
"557","2006","500335","7","crucifer",0,"0",0
"558","2006","500335","8","crucifer",0,"0",0
"559","2006","500335","9","crucifer",0,"0",0
"560","2006","500335","10","crucifer",0,"0",0
"561","2006","500336","1","crucifer",0,"0",0
"562","2006","500336","2","crucifer",2,"1",0
"563","2006","500336","3","crucifer",3,"1",0
"564","2006","500336","4","crucifer",1,"1",0
"565","2006","500336","5","crucifer",2,"1",0
"566","2006","500336","6","crucifer",1,"1",0
"567","2006","500336","7","crucifer",2,"1",0
"568","2006","500336","8","crucifer",2,"1",0
"569","2006","500336","9","crucifer",2,"1",0
"570","2006","500336","10","crucifer",1,"1",0
"571","2006","500342","1","crucifer",0,"0",0
"572","2006","500342","2","crucifer",1,"1",0
"573","2006","500342","3","crucifer",0,"0",0
"574","2006","500342","4","crucifer",0,"0",0
"575","2006","500342","5","crucifer",0,"0",0
"576","2006","500342","6","crucifer",1,"1",0
"577","2006","500342","7","crucifer",1,"1",0
"578","2006","500342","8","crucifer",0,"0",0
"579","2006","500342","9","crucifer",0,"0",0
"580","2006","500342","10","crucifer",0,"0",0
"581","2006","500373","1","crucifer",1,"1",0
"582","2006","500373","2","crucifer",2,"1",0
"583","2006","500373","3","crucifer",1,"1",0
"584","2006","500373","4","crucifer",2,"1",0
"585","2006","500373","5","crucifer",1,"1",0
"586","2006","500373","6","crucifer",2,"1",0
"587","2006","500373","7","crucifer",1,"1",0
"588","2006","500373","8","crucifer",2,"1",0
"589","2006","500373","9","crucifer",2,"1",0
"590","2006","500373","10","crucifer",1,"1",0
"591","2006","500391","1","crucifer",0,"0",0
"592","2006","500391","2","crucifer",0,"0",0
"593","2006","500391","3","crucifer",0,"0",0
"594","2006","500391","4","crucifer",0,"0",0
"595","2006","500391","5","crucifer",0,"0",0
"596","2006","500391","6","crucifer",0,"0",0
"597","2006","500391","7","crucifer",0,"0",0
"598","2006","500391","8","crucifer",0,"0",0
"599","2006","500391","9","crucifer",0,"0",0
"600","2006","500391","10","crucifer",0,"0",0
"601","2006","500395","1","crucifer",0,"0",0
"602","2006","500395","2","crucifer",0,"0",0
"603","2006","500395","3","crucifer",0,"0",0
"604","2006","500395","4","crucifer",0,"0",0
"605","2006","500395","5","crucifer",0,"0",0
"606","2006","500395","6","crucifer",0,"0",0
