"year","juldate","plot","offplot","waypoint","observed","pilot","leftseat","rightseat","snowdepth","wind","wdir","tempf","bar","btrend","cloud","surveycond","grpsize","sexage","cover","lightint","voc","wci","suco","cover2","id"
2004,9,NA,2,312,"0",2,2,3,"1",0,0,10,3042,"3","3","1",2,"2","1","1",90,10,0,"3",52550
2004,28,NA,2,446,"0",2,2,3,"3",9,280,-10,3002,"1","0","2",1,"2","3","1",60,-27.3616215451047,1,"2",52550
2004,9,NA,2,78,"1",1,1,1,"2",0,0,5,3044,"1","4","1",3,"2","3","1",40,5,0,"2",52630
2004,22,NA,2,119,"1",1,1,2,"3",9,280,-13,3010,"3","0","2",1,"2","4","2",0,-31.0489096058566,1,"1",52630
2005,5,58,2,620,"1",2,2,3,"3",0,0,-10,3049,"3","1","1",4,"1","4","1",20,-10,0,"1",40200
2005,5,23,2,80,"1",1,1,1,"3",0,0,10,3035,"3","1","1",2,"1","3","1",85,10,0,"2",40930
2005,11,105,2,147,"0",1,1,4,"3",0,0,14,2996,"2","0","1",1,"1","3","2",80,14,0,"2",41830
2005,5,60,2,634,"0",2,2,3,"3",0,0,-5,3033,"2","1","1",1,"1","1","1",75,-5,0,"3",41930
2005,11,100,2,148,"0",1,1,4,"3",0,0,18,3001,"2","1","1",1,"1","3","1",70,18,0,"2",42620
2005,27,100,2,200,"0",1,1,3,"3",5,200,21,3037,"3","0","1",1,"1","3","2",85,14.15578735,0,"2",42620
2005,11,128,2,138,"1",1,1,3,"3",0,0,-14,3001,"2","0","1",1,"1","3","2",20,-14,0,"2",45330
2005,5,72,2,624,"1",2,2,3,"3",0,0,-10,3035,"2","1","1",2,"1","4","1",10,-10,0,"1",46940
2005,11,72,2,153,"1",1,1,4,"3",0,0,14,2994,"2","4","1",2,"1","1","1",10,14,0,"3",46940
2005,20,75,2,158,"1",1,1,3,"3",4,30,9,3010,"3","4","1",2,"1","3","1",70,1.508634664,0,"2",46940
2005,5,60,2,636,"0",2,2,3,"3",0,0,-5,3033,"2","1","1",2,"1","3","1",20,-5,0,"2",50500
2006,14,62,2,222,"1",2,2,3,"3",3,130,16,3006,"3","4","1",3,"1","3","1",30,16,0,"2",41320
2006,14,60,2,225,"1",2,2,3,"3",3,130,15,3003,"2","4","1",2,"1","1","1",20,15,0,"3",41930
2006,14,77,2,233,"1",2,2,3,"3",0,0,21,3001,"2","4","1",4,"1","3","1",20,21,0,"2",43230
2006,21,128,2,276,"1",1,1,1,"3",3,170,17,3015,"1","1","1",1,"1","2","1",20,17,0,"1",45330
2006,25,49,2,117,"0",1,2,3,"3",9,300,19,3028,"1","1","1",1,"1","1","1",85,8.282163042,0,"3",46030
2006,13,72,2,212,"1",2,2,3,"3",7,290,25,2985,"3","4","1",1,"1","1","2",10,17.06064603,0,"3",47140
2006,14,77,2,237,"0",2,2,3,"3",0,0,21,3001,"2","4","1",1,"1","1","1",90,21,0,"3",50200
2006,25,23,2,129,"0",1,2,3,"3",7,310,21,3028,"1","2","1",1,"1","1","2",60,12.24004971,0,"3",51512
2006,13,75,2,216,"1",2,2,3,"3",7,290,25,2985,"3","2","1",2,"1","3","2",40,17.06064603,0,"2",52320
2007,24,23,2,813,"0",1,2,3,"1",7,330,14,3005,"3","4","2",1,"1","1","1",80,3.804006144,1,"3",40930
2007,10,62,2,677,"1",3,2,3,"2",9,120,1,3004,"1","4","1",1,"1","3","1",15,-13.84156532,0,"2",41320
2007,23,52,2,791,"0",1,1,3,"2",18,320,16,2991,"1","0","2",1,"1","1","2",90,-0.224350898,1,"3",41320
2007,10,60,2,19,"0",3,1,5,"1",15,140,21,2975,"2","4","1",1,"1","1","1",50,7.499727235,0,"3",41930
2007,16,105,2,760,"0",1,1,1,"2",3,250,1,3042,"3","1","2",1,"1","1","2",95,1,1,"3",42620
2007,17,77,2,776,"0",1,1,1,"1",11,210,19,2998,"2","4","2",1,"1","1","2",95,7.000968748,1,"3",43230
2007,23,30,2,789,"1",1,1,3,"2",8,320,15,2987,"1","0","2",1,"1","3","2",0,4.144207688,1,"2",43730
2007,17,132,2,134,"0",2,4,4,"1",13,220,12,3006,"3","0","2",1,"1","1","2",80,-2.958845774,1,"3",45330
2007,10,44,2,684,"0",3,2,3,"2",9,120,5,3004,"1","4","1",1,"1","1","1",90,-8.925181241,0,"3",46030
2007,24,45,2,794,"1",1,2,3,"1",0,0,-2,3005,"3","4","2",1,"1","2","1",30,-2,1,"1",46030
2007,17,72,2,773,"1",1,1,1,"1",17,220,16,3002,NA,"2","2",3,"1","3","2",20,0.193582878,1,"2",47140
2007,9,10,2,665,"1",3,2,3,"1",13,280,9,3004,"3","1","1",3,"1","1","1",30,-6.756597071,0,"3",47430
2007,23,10,2,787,"1",1,1,3,"1",10,330,14,2987,"3","0","2",3,"1","2","2",35,1.417485224,1,"1",47430
2007,17,77,2,778,"0",1,1,1,"1",11,210,19,2998,"2","4","2",1,"1","1","2",40,7.000968748,1,"3",50200
2007,9,9,2,663,"1",3,2,3,"1",17,280,7,3004,"3","1","1",3,"1","3","2",50,-11.45402919,0,"2",51040
2007,10,33,2,15,"0",3,1,5,"1",15,140,20,2975,"2","4","1",5,"1","1","1",80,6.218885266,0,"3",51512
2007,11,33,2,715,"1",3,2,3,"1",11,290,27,2974,"3","4","1",4,"1","1","1",10,16.99233557,0,"3",51512
2007,24,33,2,818,"0",1,2,3,"1",7,330,14,3005,"3","4","2",3,"1","3","1",80,3.804006144,1,"2",51512
2005,5,72,2,625,"1",2,2,3,"3",0,0,-10,3035,"2","1","1",2,"2","1","1",80,-10,0,"3",51830
2006,21,100,2,280,"0",1,1,1,"3",0,0,21,3014,"1","4","1",2,"2","3","2",80,21,0,"2",42130
2006,14,70,2,231,"0",2,2,3,"3",2,130,17,3002,"2","4","1",1,"2","1","1",85,17,0,"3",47522
2005,5,21,2,82,"0",1,1,1,"3",0,0,18,3039,"3","1","1",2,"2","3","1",90,18,0,"2",42030
2005,20,35,2,159,"1",1,1,3,"3",4,30,10,3010,"3","4","1",1,"2","1","1",80,2.663795973,0,"3",42030
2005,11,105,2,146,"1",1,1,4,"3",0,0,14,2996,"2","0","1",1,"2","3","2",75,14,0,"2",42130
2005,27,105,2,196,"0",1,1,3,"3",5,200,20,3037,"3","0","1",2,"2","3","2",90,12.98122853,0,"2",42130
2005,11,69,2,696,"0",2,2,1,"3",0,0,-4,3001,"2","1","1",4,"2","3","2",30,-4,0,"2",43030
2005,5,33,2,75,"1",1,1,1,"3",0,0,-8,3050,"3","1","1",7,"2","4","1",0,-8,0,"1",45830
2005,11,117,2,142,"1",1,1,3,"3",0,0,-14,3001,"2","0","1",5,"2","3","2",30,-14,0,"2",52030
2005,5,60,2,637,"0",2,2,3,"3",0,0,-5,3033,"2","1","1",3,"2","3","1",30,-5,0,"2",52630
2005,27,78,2,193,"1",1,1,3,"3",0,0,-5,3040,"3","0","1",1,"2","3","2",65,-5,0,"2",52933
2006,20,115,2,266,"0",1,1,1,"3",10,250,19,2992,"2","3","1",1,"2","1","2",40,7.614612734,0,"3",40731
2006,23,140,2,296,"1",1,2,3,"3",10,220,27,2959,"2","4","1",1,"2","2","2",50,17.53001675,0,"1",41430
2006,23,84,2,289,"0",1,2,3,"3",8,200,19,2976,"3","3","1",2,"2","3","1",60,9.015219358,0,"2",41720
2006,25,45,2,108,"1",1,2,3,"3",3,290,10,3026,"1","1","1",3,"2","3","1",40,10,0,"2",42520
2006,14,62,2,224,"0",2,2,3,"3",3,130,16,3006,"3","4","1",1,"2","1","1",85,16,0,"3",42822
2006,14,77,2,234,"1",2,2,3,"3",0,0,21,3001,"2","4","1",3,"2","3","1",20,21,0,"2",44132
2006,25,30,2,150,"0",1,2,3,"3",6,270,27,3029,"1","4","1",2,"2","3","2",30,20.27611184,0,"2",44460
2006,13,86,2,218,"0",2,2,3,"3",7,300,25,2986,"3","3","1",2,"2","3","1",40,17.06064603,0,"2",44620
2006,21,117,2,278,"0",1,1,1,"3",3,170,19,3015,"1","1","1",1,"2","3","2",90,19,0,"2",45020
2006,23,107,2,297,"1",1,2,3,"3",10,200,27,2951,"2","4","1",1,"2","1","2",50,17.53001675,0,"3",46130
2006,14,77,2,232,"1",2,2,3,"3",0,0,21,3001,"2","4","1",3,"2","3","1",40,21,0,"2",48310
2006,13,55,2,211,"1",2,2,3,"3",10,300,21,2985,"3","4","1",1,"2","3","2",30,10.09346374,0,"2",48430
2006,14,67,2,220,"1",2,2,3,"3",0,0,13,3006,"3","4","1",5,"2","2","1",50,13,0,"1",50400
2006,21,116,2,277,"1",1,1,1,"3",3,170,17,3015,"1","1","1",1,"2","2","1",10,17,0,"1",50550
2006,14,60,2,227,"0",2,2,3,"3",3,130,15,3003,"2","4","1",1,"2","3","1",60,15,0,"2",52630
2006,23,101,2,291,"0",1,2,3,"3",14,220,27,2959,"2","2","1",2,"2","1","1",80,15.59465637,0,"3",52933
2007,10,69,2,18,"0",3,1,5,"2",15,140,20,2975,"2","4","1",3,"2","3","1",20,6.218885266,0,"2",41720
2007,23,27,2,788,"0",1,1,3,"2",14,330,12,2987,"1","0","2",1,"2","1","2",95,-3.509397786,1,"3",43640
2007,17,77,2,774,"1",1,1,1,"1",11,210,19,2998,"2","4","2",1,"2","3","2",10,7.000968748,1,"2",44132
2007,10,30,2,672,"0",3,2,1,"1",13,280,9,3009,"3","1","2",1,"2","1","2",30,-6.756597071,1,"3",44460
2007,23,30,2,790,"0",1,1,3,"2",8,320,15,2987,"1","0","2",1,"2","3","2",20,4.144207688,1,"2",44460
2007,10,33,2,16,"0",3,1,5,"1",15,140,20,2975,"2","4","1",1,"2","3","1",40,6.218885266,0,"2",45830
2007,11,33,2,710,"1",3,2,3,"1",11,290,27,2974,"3","4","1",1,"2","1","1",75,16.99233557,0,"3",45830
2007,24,42,2,822,"0",1,2,3,"1",7,330,14,3006,"3","4","2",3,"2","1","1",85,3.804006144,1,"3",45830
2007,16,98,2,762,"1",1,1,1,"2",6,240,5,3042,NA,"0","2",1,"2","4","2",5,-5.924347446,1,"1",46130
2007,16,99,2,761,"1",1,1,1,"2",3,250,1,3042,"3","0","2",4,"2","2","2",20,1,1,"1",46630
2007,17,112,2,128,"0",2,4,4,"1",13,220,12,3006,"3","0","2",1,"2","1","2",20,-2.958845774,1,"3",46740
2007,17,77,2,777,"0",1,1,1,"1",11,210,19,2998,"2","4","2",1,"2","1","2",75,7.000968748,1,"3",47522
2007,24,13,2,805,"0",1,2,3,"1",0,0,3,3000,"3","4","2",2,"2","1","1",85,3,1,"3",47940
2005,27,105,2,197,"0",1,1,3,"3",5,200,20,3037,"3","0","1",2,"1","3","2",90,12.98122853,0,"2",41830
2006,21,100,2,279,"1",1,1,1,"3",0,0,21,3014,"1","4","1",2,"1","3","2",55,21,0,"2",40430
2005,11,124,2,144,"1",1,1,4,"3",0,0,18,3001,"2","0","1",2,"3","3","2",70,18,0,"2",41430
2005,27,102,2,195,"0",1,1,5,"3",5,180,20,3043,"3","0","1",2,"3","3","2",75,12.98122853,0,"2",41720
2005,11,68,2,686,"0",2,2,1,"3",0,0,-15,3001,"2","1","1",2,"3","1","2",60,-15,0,"3",42420
2005,26,62,2,710,"1",3,2,1,"3",3,40,3,3029,"1","0","1",2,"3","3","2",90,3,0,"2",42420
2005,27,78,2,194,"0",1,1,3,"3",0,0,-5,3040,"3","0","1",3,"3","3","2",90,-5,0,"2",43420
2005,11,118,2,143,"1",1,1,3,"3",0,0,-14,3001,"2","0","1",2,"3","3","2",85,-14,0,"2",45020
2005,11,111,2,141,"1",1,1,3,"3",0,0,-14,3001,"2","0","1",2,"3","3","2",50,-14,0,"2",46740
2005,11,70,2,150,"1",1,1,4,"3",3,210,-14,2994,"2","3","1",2,"3","1","1",50,-14,0,"3",48310
2005,27,71,2,192,"0",1,1,3,"3",0,0,-11,3043,"3","0","1",2,"3","1","2",50,-11,0,"3",48310
2005,5,56,2,619,"0",2,2,3,"3",0,0,-14,3049,"3","1","1",3,"3","2","1",50,-14,0,"1",48430
2005,11,68,2,682,"1",2,2,1,"3",0,0,-15,3001,"2","1","1",2,"3","2","2",5,-15,0,"1",50400
2005,5,13,2,81,"1",1,1,1,"3",0,0,10,3039,"3","1","1",2,"3","3","2",70,10,0,"2",51120
2005,5,56,2,617,"1",2,2,3,"3",0,0,-14,3049,"3","1","1",3,"3","4","1",10,-14,0,"1",51930
2005,5,34,2,72,"0",1,1,1,"3",0,0,-10,3050,"3","1","1",2,"3","1","1",50,-10,0,"3",52220
2005,20,34,2,161,"1",1,1,3,"3",4,50,12,3013,"3","4","1",2,"3","3","1",40,4.974118593,0,"2",52220
2005,5,33,2,77,"0",1,1,1,"3",0,0,-8,3050,"3","1","1",2,"3","3","1",70,-8,0,"2",52420
2005,24,33,2,162,"1",3,2,3,"3",0,0,23,2992,"1","4","1",2,"3","3","1",60,23,0,"2",52420
2006,25,45,2,112,"0",1,2,3,"3",3,290,10,3026,"1","1","1",3,"3","1","1",80,10,0,"3",42220
2006,25,9,2,143,"0",1,2,3,"3",6,270,27,3029,"1","4","1",2,"3","2","2",10,20.27611184,0,"1",43640
2006,25,24,2,134,"0",1,2,3,"3",7,300,21,3028,"1","2","1",2,"3","1","2",50,12.24004971,0,"3",45830
2006,20,125,2,81,"1",3,2,3,"3",7,300,19,2998,"3","3","1",2,"3","1","2",95,9.829751545,0,"3",46530
2006,23,99,2,299,"1",1,2,3,"3",10,200,27,2951,"2","4","1",3,"3","1","2",60,17.53001675,0,"3",46630
2006,25,11,2,104,"1",1,2,3,"3",0,0,9,3025,"3","1","1",3,"3","3","1",60,9,0,"2",47940
2006,25,23,2,128,"0",1,2,3,"3",7,310,21,3028,"1","2","1",3,"3","2","2",40,12.24004971,0,"1",51120
2006,13,72,2,214,"0",2,2,3,"3",7,290,25,2985,"3","4","1",2,"3","1","2",60,17.06064603,0,"3",51830
2006,20,125,2,82,"1",3,2,3,"3",7,300,19,2998,"3","3","1",2,"3","3","2",95,9.829751545,0,"2",52030
2007,17,34,2,771,"0",1,1,1,"1",13,220,10,3005,"3","0","2",2,"3","3","2",65,-5.490679972,1,"2",42030
2007,10,30,2,671,"0",3,2,1,"1",13,280,9,3009,"3","1","2",2,"3","1","2",70,-6.756597071,1,"3",42520
2007,24,44,2,795,"1",1,2,3,"1",0,0,0,3005,"3","4","2",2,"3","2","1",40,0,1,"1",42520
2007,10,62,2,674,"1",3,2,3,"2",9,120,1,3004,"1","4","1",2,"3","4","1",10,-13.84156532,0,"1",42822
2007,24,63,2,797,"0",1,2,3,"1",0,0,3,3005,"3","4","2",2,"3","1","1",75,3,1,"3",42822
2007,16,75,2,763,"1",1,1,1,"2",6,240,5,3042,"3","0","2",2,"3","3","2",50,-5.924347446,1,"2",44620
2007,17,125,2,152,"0",2,3,4,"1",15,210,27,2990,"3","0","1",2,"3","3","2",60,15.18477905,0,"2",46530
2007,17,77,2,775,"0",1,1,1,"1",11,210,19,2998,"2","4","2",2,"3","1","2",70,7.000968748,1,"3",48310
2007,16,76,2,764,"0",1,1,1,"2",6,240,5,3042,"3","0","2",3,"3","1","2",95,-5.924347446,1,"3",49820
2007,10,23,2,14,"0",3,1,5,"1",3,120,7,3004,"2","4","1",2,"3","3","1",60,7,0,"2",51120
2007,11,23,2,722,"1",3,2,3,"1",11,310,21,2986,"3","4","1",2,"3","1","1",75,9.498810454,0,"3",51120
2007,17,72,2,772,"1",1,1,1,"1",17,220,16,3002,NA,"2","2",2,"3","1","2",10,0.193582878,1,"3",51830
2007,17,125,2,153,"0",2,3,4,"1",15,210,27,2990,"3","0","1",2,"3","3","2",40,15.18477905,0,"2",52030
2007,10,23,2,13,"0",3,1,5,"1",3,120,7,3004,"2","4","1",2,"3","1","1",90,7,0,"3",52420
2007,11,23,2,725,"0",3,2,3,"1",11,310,21,2986,"3","4","1",2,"3","3","1",60,9.498810454,0,"2",52420
2007,24,23,2,812,"0",1,2,3,"1",7,330,14,3005,"3","4","2",2,"3","3","1",60,3.804006144,1,"2",52420
2007,23,60,2,792,"1",1,1,3,"2",18,320,16,2991,"1","0","2",2,"3","1","2",65,-0.224350898,1,"3",52630
